url,title,label,category
https://baomoi.com/soc-voi-danh-sach-ung-vien-hlv-truong-tuyen-anh-co-pep-guardiola-va-lampard-c50152678.epi,Sốc với danh sách ứng viên HLV trưởng tuyển Anh có Pep Guardiola và Lampard,True,Bóng đá
https://baomoi.com/bang-xep-hang-ngoai-hang-anh-2024-2025-vong-4-c50153711.epi,Bảng xếp hạng Ngoại Hạng Anh 2024-2025 vòng 4,True,Bóng đá
https://baomoi.com/lich-thi-dau-bong-da-hom-nay-13-9-va-sang-14-9-lich-thi-dau-bundesliga-vong-3-dortmund-vs-fc-heidenheim-la-liga-vong-5-real-betis-vs-leganes-c50157128.epi,Lịch thi đấu bóng đá hôm nay 13/9 và sáng 14/9: Lịch thi đấu Bundesliga vòng 3 - Dortmund vs FC Heidenheim; La Liga vòng 5 - Real Betis vs Leganes,True,Bóng đá
https://baomoi.com/toi-gia-nhap-mu-tu-arsenal-va-yeu-cau-huy-hop-dong-sau-1-buoi-tap-c50152437.epi,'Tôi gia nhập MU từ Arsenal và yêu cầu hủy hợp đồng sau 1 buổi tập',True,Bóng đá
https://baomoi.com/hlv-arteta-o-lai-arsenal-them-3-nam-c50158903.epi,HLV Arteta ở lại Arsenal thêm 3 năm,True,Bóng đá
https://baomoi.com/nam-dinh-mat-chan-sut-khien-ca-v-league-khiep-so-vi-ly-do-dac-biet-c50157646.epi,Nam Định mất chân sút khiến cả V-League khiếp sợ vì lý do đặc biệt,True,Bóng đá
https://baomoi.com/thu-mon-bui-tien-dung-chinh-thuc-duoc-chot-tuong-lai-c50157360.epi,Thủ môn Bùi Tiến Dũng chính thức được chốt tương lai,True,Bóng đá
https://baomoi.com/hang-nhat-co-doi-bo-giai-cup-quoc-gia-2024-25-chot-lich-thi-dau-c50159126.epi,"Hạng Nhất có đội bỏ giải, Cúp Quốc gia 2024/25 chốt lịch thi đấu",True,Bóng đá
https://baomoi.com/tam-long-cua-lang-bong-viet-nam-huong-ve-ba-con-mien-bac-yeu-thuong-c50156923.epi,Tấm lòng của làng bóng Việt Nam hướng về bà con miền Bắc yêu thương,True,Bóng đá
https://baomoi.com/hlv-kim-sang-sik-khong-hieu-van-hoa-viet-nam-gioi-den-may-cung-that-bai-c50155383.epi,"HLV Kim Sang-sik: Không hiểu văn hóa Việt Nam, giỏi đến mấy cũng thất bại",True,Bóng đá
https://baomoi.com/ramos-loay-hoay-tim-ben-do-c50158900.epi,Ramos loay hoay tìm bến đỗ,True,Bóng đá
https://baomoi.com/hlv-arteta-o-lai-arsenal-them-3-nam-c50158903.epi,HLV Arteta ở lại Arsenal thêm 3 năm,True,Bóng đá
https://baomoi.com/hagl-huong-loi-tai-cup-quoc-gia-2024-2025-c50159370.epi,HAGL hưởng lợi tại Cúp Quốc gia 2024-2025,True,Bóng đá
https://baomoi.com/lich-thi-dau-bong-da-hom-nay-13-9-va-sang-14-9-lich-thi-dau-bundesliga-vong-3-dortmund-vs-fc-heidenheim-la-liga-vong-5-real-betis-vs-leganes-c50157128.epi,Lịch thi đấu bóng đá hôm nay 13/9 và sáng 14/9: Lịch thi đấu Bundesliga vòng 3 - Dortmund vs FC Heidenheim; La Liga vòng 5 - Real Betis vs Leganes,True,Bóng đá
https://baomoi.com/the-thuc-thi-dau-giai-bong-da-cup-quoc-gia-va-hang-nhat-quoc-gia-2024-25-doi-vo-dich-nhan-2-ty-dong-c50158203.epi,Thể thức thi đấu giải bóng đá Cúp Quốc gia và hạng Nhất Quốc gia 2024/25: Đội vô địch nhận 2 tỷ đồng,True,Bóng đá
https://baomoi.com/diem-danh-4-doi-thu-cua-u20-viet-nam-tai-vong-loai-u20-chau-a-c50158732.epi,Điểm danh 4 đối thủ của U20 Việt Nam tại vòng loại U20 châu Á,True,Bóng đá
https://baomoi.com/lich-thi-dau-va-truc-tiep-u20-viet-nam-tai-vong-loai-u20-chau-a-2025-c50157158.epi,Lịch thi đấu và trực tiếp U20 Việt Nam tại vòng loại U20 châu Á 2025,True,Bóng đá
https://baomoi.com/jannik-sinner-co-nguy-co-bi-tuoc-danh-hieu-my-mo-rong-c50158444.epi,Jannik Sinner có nguy cơ bị tước danh hiệu Mỹ mở rộng,True,Bóng đá
https://baomoi.com/the-cong-viettel-dat-muc-tieu-khiem-ton-o-v-league-2024-25-c50158904.epi,Thể Công Viettel đặt mục tiêu khiêm tốn ở V.League 2024/25,True,Bóng đá
https://baomoi.com/hagl-nam-o-nhanh-dau-tu-than-tai-cup-quoc-gia-2024-2025-c50158236.epi,HAGL nằm ở nhánh đấu tử thần tại Cúp Quốc gia 2024/2025,True,Bóng đá
