url,title
https://baomoi.com/tieu-su-dong-chi-ho-van-mung-tan-pho-bi-thu-tinh-uy-chu-tich-ubnd-tinh-an-giang-c50155038.epi,"Tiểu sử đồng chí Hồ Văn Mừng, tân Phó Bí thư Tỉnh ủy, Chủ tịch UBND tỉnh An Giang"
https://baomoi.com/ban-bi-thu-chi-dinh-chuan-y-nhan-su-3-tinh-c50148753.epi,"Ban Bí thư chỉ định, chuẩn y nhân sự 3 tỉnh"
https://baomoi.com/tp-hcm-se-doi-thoai-voi-cac-dia-phuong-ve-chuyen-doi-cong-nghiep-c50158224.epi,Tp.HCM sẽ đối thoại với các địa phương về chuyển đổi công nghiệp
https://baomoi.com/han-quoc-vien-tro-2-trieu-usd-nhat-giup-vat-tu-de-viet-nam-khac-phuc-hau-qua-bao-lu-c50155508.epi,"Hàn Quốc viện trợ 2 triệu USD, Nhật giúp vật tư để Việt Nam khắc phục hậu quả bão lũ"
https://baomoi.com/le-phat-dong-quyen-gop-ung-ho-dong-bao-cac-tinh-thanh-pho-phia-bac-bi-thiet-hai-do-bao-lu-c50158182.epi,"Lễ phát động quyên góp ủng hộ đồng bào các tỉnh, thành phố phía Bắc bị thiệt hại do bão, lũ"
https://baomoi.com/bo-nhiem-nu-truong-khoa-ke-toan-giu-chuc-pho-vu-truong-c50158216.epi,Bổ nhiệm nữ Trưởng khoa Kế toán giữ chức Phó Vụ trưởng
https://baomoi.com/huyen-phu-giao-chung-tay-thuc-hien-thanh-cong-cac-muc-tieu-phat-trien-kinh-te-xa-hoi-c50158170.epi,Huyện Phú Giáo: Chung tay thực hiện thành công các mục tiêu phát triển kinh tế - xã hội
https://baomoi.com/cu-the-hoa-va-thuc-hien-dung-cac-quy-dinh-cua-luat-thuc-hien-dan-chu-o-co-so-c50158204.epi,Cụ thể hóa và thực hiện đúng các quy định của Luật Thực hiện dân chủ ở cơ sở
https://baomoi.com/doan-kiem-tra-cua-bo-chinh-tri-lam-viec-voi-ban-thuong-vu-tinh-uy-quang-tri-c50158103.epi,Đoàn kiểm tra của Bộ Chính trị làm việc với Ban Thường vụ Tỉnh ủy Quảng Trị
https://baomoi.com/cu-tri-danh-gia-cao-uy-ban-thuong-vu-quoc-hoi-giam-sat-den-cung-c50158104.epi,Cử tri đánh giá cao Ủy ban Thường vụ Quốc hội 'giám sát đến cùng'
